type_name,type,path,i,real_time,user_time,sys_time,depth
Approach 1: nested,1,nested/nested7.cpp.out,1,0m0.986,0m0.976,0m0.010,7
Approach 1: nested,1,nested/nested7.cpp.out,2,0m0.979,0m0.979,0m0.000,7
Approach 1: nested,1,nested/nested7.cpp.out,3,0m0.995,0m0.975,0m0.020,7
Approach 1: nested,1,nested/nested7.cpp.out,4,0m0.984,0m0.974,0m0.010,7
Approach 1: nested,1,nested/nested7.cpp.out,5,0m0.982,0m0.952,0m0.030,7
Approach 1: nested,1,nested/nested7.cpp.out,6,0m1.059,0m1.009,0m0.050,7
Approach 1: nested,1,nested/nested7.cpp.out,7,0m0.992,0m0.972,0m0.020,7
Approach 1: nested,1,nested/nested7.cpp.out,8,0m1.048,0m1.028,0m0.020,7
Approach 1: nested,1,nested/nested7.cpp.out,9,0m0.986,0m0.946,0m0.040,7
Approach 1: nested,1,nested/nested7.cpp.out,10,0m1.026,0m0.997,0m0.030,7
Approach 1: nested,1,nested/nested8.cpp.out,1,0m27.895,0m26.444,0m1.450,8
Approach 1: nested,1,nested/nested8.cpp.out,2,0m26.116,0m24.765,0m1.350,8
Approach 1: nested,1,nested/nested8.cpp.out,3,0m27.079,0m25.988,0m1.090,8
Approach 1: nested,1,nested/nested8.cpp.out,4,0m32.381,0m31.049,0m1.330,8
Approach 1: nested,1,nested/nested8.cpp.out,5,0m29.081,0m27.859,0m1.220,8
Approach 1: nested,1,nested/nested8.cpp.out,6,0m29.535,0m28.294,0m1.240,8
Approach 1: nested,1,nested/nested8.cpp.out,7,0m29.010,0m27.549,0m1.460,8
Approach 1: nested,1,nested/nested8.cpp.out,8,0m27.159,0m26.138,0m1.020,8
Approach 1: nested,1,nested/nested8.cpp.out,9,0m26.011,0m25.020,0m0.990,8
Approach 1: nested,1,nested/nested8.cpp.out,10,0m26.980,0m26.014,0m0.950,8
Approach 2: nested_templated,2,nested_templated/nested_templated1.cpp.out,1,0m0.004,0m0.004,0m0.000,1
Approach 2: nested_templated,2,nested_templated/nested_templated1.cpp.out,2,0m0.005,0m0.005,0m0.000,1
Approach 2: nested_templated,2,nested_templated/nested_templated1.cpp.out,3,0m0.003,0m0.003,0m0.000,1
Approach 2: nested_templated,2,nested_templated/nested_templated1.cpp.out,4,0m0.004,0m0.001,0m0.004,1
Approach 2: nested_templated,2,nested_templated/nested_templated1.cpp.out,5,0m0.004,0m0.001,0m0.004,1
Approach 2: nested_templated,2,nested_templated/nested_templated1.cpp.out,6,0m0.005,0m0.005,0m0.000,1
Approach 2: nested_templated,2,nested_templated/nested_templated1.cpp.out,7,0m0.003,0m0.003,0m0.000,1
Approach 2: nested_templated,2,nested_templated/nested_templated1.cpp.out,8,0m0.005,0m0.005,0m0.000,1
Approach 2: nested_templated,2,nested_templated/nested_templated1.cpp.out,9,0m0.003,0m0.001,0m0.003,1
Approach 2: nested_templated,2,nested_templated/nested_templated1.cpp.out,10,0m0.003,0m0.003,0m0.000,1
Approach 2: nested_templated,2,nested_templated/nested_templated2.cpp.out,1,0m0.004,0m0.004,0m0.000,2
Approach 2: nested_templated,2,nested_templated/nested_templated2.cpp.out,2,0m0.004,0m0.005,0m0.000,2
Approach 2: nested_templated,2,nested_templated/nested_templated2.cpp.out,3,0m0.003,0m0.004,0m0.000,2
Approach 2: nested_templated,2,nested_templated/nested_templated2.cpp.out,4,0m0.003,0m0.003,0m0.000,2
Approach 2: nested_templated,2,nested_templated/nested_templated2.cpp.out,5,0m0.003,0m0.003,0m0.000,2
Approach 2: nested_templated,2,nested_templated/nested_templated2.cpp.out,6,0m0.004,0m0.001,0m0.004,2
Approach 2: nested_templated,2,nested_templated/nested_templated2.cpp.out,7,0m0.003,0m0.003,0m0.000,2
Approach 2: nested_templated,2,nested_templated/nested_templated2.cpp.out,8,0m0.004,0m0.001,0m0.003,2
Approach 2: nested_templated,2,nested_templated/nested_templated2.cpp.out,9,0m0.004,0m0.005,0m0.000,2
Approach 2: nested_templated,2,nested_templated/nested_templated2.cpp.out,10,0m0.005,0m0.004,0m0.002,2
Approach 2: nested_templated,2,nested_templated/nested_templated3.cpp.out,1,0m0.004,0m0.004,0m0.000,3
Approach 2: nested_templated,2,nested_templated/nested_templated3.cpp.out,2,0m0.004,0m0.004,0m0.000,3
Approach 2: nested_templated,2,nested_templated/nested_templated3.cpp.out,3,0m0.005,0m0.005,0m0.000,3
Approach 2: nested_templated,2,nested_templated/nested_templated3.cpp.out,4,0m0.007,0m0.005,0m0.002,3
Approach 2: nested_templated,2,nested_templated/nested_templated3.cpp.out,5,0m0.004,0m0.004,0m0.000,3
Approach 2: nested_templated,2,nested_templated/nested_templated3.cpp.out,6,0m0.003,0m0.004,0m0.000,3
Approach 2: nested_templated,2,nested_templated/nested_templated3.cpp.out,7,0m0.004,0m0.004,0m0.000,3
Approach 2: nested_templated,2,nested_templated/nested_templated3.cpp.out,8,0m0.003,0m0.003,0m0.001,3
Approach 2: nested_templated,2,nested_templated/nested_templated3.cpp.out,9,0m0.005,0m0.001,0m0.004,3
Approach 2: nested_templated,2,nested_templated/nested_templated3.cpp.out,10,0m0.003,0m0.003,0m0.000,3
Approach 2: nested_templated,2,nested_templated/nested_templated4.cpp.out,1,0m0.003,0m0.003,0m0.000,4
Approach 2: nested_templated,2,nested_templated/nested_templated4.cpp.out,2,0m0.004,0m0.004,0m0.000,4
Approach 2: nested_templated,2,nested_templated/nested_templated4.cpp.out,3,0m0.003,0m0.003,0m0.000,4
Approach 2: nested_templated,2,nested_templated/nested_templated4.cpp.out,4,0m0.003,0m0.003,0m0.000,4
Approach 2: nested_templated,2,nested_templated/nested_templated4.cpp.out,5,0m0.005,0m0.004,0m0.001,4
Approach 2: nested_templated,2,nested_templated/nested_templated4.cpp.out,6,0m0.003,0m0.003,0m0.000,4
Approach 2: nested_templated,2,nested_templated/nested_templated4.cpp.out,7,0m0.002,0m0.002,0m0.000,4
Approach 2: nested_templated,2,nested_templated/nested_templated4.cpp.out,8,0m0.004,0m0.004,0m0.000,4
Approach 2: nested_templated,2,nested_templated/nested_templated4.cpp.out,9,0m0.006,0m0.007,0m0.000,4
Approach 2: nested_templated,2,nested_templated/nested_templated4.cpp.out,10,0m0.006,0m0.006,0m0.000,4
Approach 2: nested_templated,2,nested_templated/nested_templated5.cpp.out,1,0m0.010,0m0.010,0m0.000,5
Approach 2: nested_templated,2,nested_templated/nested_templated5.cpp.out,2,0m0.008,0m0.008,0m0.000,5
Approach 2: nested_templated,2,nested_templated/nested_templated5.cpp.out,3,0m0.010,0m0.010,0m0.000,5
Approach 2: nested_templated,2,nested_templated/nested_templated5.cpp.out,4,0m0.011,0m0.001,0m0.011,5
Approach 2: nested_templated,2,nested_templated/nested_templated5.cpp.out,5,0m0.011,0m0.011,0m0.000,5
Approach 2: nested_templated,2,nested_templated/nested_templated5.cpp.out,6,0m0.008,0m0.008,0m0.000,5
Approach 2: nested_templated,2,nested_templated/nested_templated5.cpp.out,7,0m0.006,0m0.006,0m0.000,5
Approach 2: nested_templated,2,nested_templated/nested_templated5.cpp.out,8,0m0.008,0m0.008,0m0.000,5
Approach 2: nested_templated,2,nested_templated/nested_templated5.cpp.out,9,0m0.008,0m0.001,0m0.007,5
Approach 2: nested_templated,2,nested_templated/nested_templated5.cpp.out,10,0m0.011,0m0.011,0m0.000,5
Approach 2: nested_templated,2,nested_templated/nested_templated6.cpp.out,1,0m0.077,0m0.077,0m0.000,6
Approach 2: nested_templated,2,nested_templated/nested_templated6.cpp.out,2,0m0.087,0m0.087,0m0.000,6
Approach 2: nested_templated,2,nested_templated/nested_templated6.cpp.out,3,0m0.145,0m0.135,0m0.010,6
Approach 2: nested_templated,2,nested_templated/nested_templated6.cpp.out,4,0m0.101,0m0.080,0m0.021,6
Approach 2: nested_templated,2,nested_templated/nested_templated6.cpp.out,5,0m0.118,0m0.099,0m0.020,6
Approach 2: nested_templated,2,nested_templated/nested_templated6.cpp.out,6,0m0.109,0m0.098,0m0.010,6
Approach 2: nested_templated,2,nested_templated/nested_templated6.cpp.out,7,0m0.127,0m0.126,0m0.000,6
Approach 2: nested_templated,2,nested_templated/nested_templated6.cpp.out,8,0m0.095,0m0.076,0m0.019,6
Approach 2: nested_templated,2,nested_templated/nested_templated6.cpp.out,9,0m0.090,0m0.090,0m0.000,6
Approach 2: nested_templated,2,nested_templated/nested_templated6.cpp.out,10,0m0.074,0m0.074,0m0.000,6
Approach 2: nested_templated,2,nested_templated/nested_templated7.cpp.out,1,0m1.338,0m1.248,0m0.091,7
Approach 2: nested_templated,2,nested_templated/nested_templated7.cpp.out,2,0m1.269,0m1.209,0m0.060,7
Approach 2: nested_templated,2,nested_templated/nested_templated7.cpp.out,3,0m1.252,0m1.163,0m0.089,7
Approach 2: nested_templated,2,nested_templated/nested_templated7.cpp.out,4,0m1.337,0m1.257,0m0.080,7
Approach 2: nested_templated,2,nested_templated/nested_templated7.cpp.out,5,0m1.275,0m1.236,0m0.040,7
Approach 2: nested_templated,2,nested_templated/nested_templated7.cpp.out,6,0m1.371,0m1.301,0m0.071,7
Approach 2: nested_templated,2,nested_templated/nested_templated7.cpp.out,7,0m1.339,0m1.310,0m0.030,7
Approach 2: nested_templated,2,nested_templated/nested_templated7.cpp.out,8,0m1.289,0m1.219,0m0.070,7
Approach 2: nested_templated,2,nested_templated/nested_templated7.cpp.out,9,0m1.233,0m1.173,0m0.060,7
Approach 2: nested_templated,2,nested_templated/nested_templated7.cpp.out,10,0m1.304,0m1.264,0m0.040,7
Approach 2: nested_templated,2,nested_templated/nested_templated8.cpp.out,1,0m27.129,0m26.197,0m0.931,8
Approach 2: nested_templated,2,nested_templated/nested_templated8.cpp.out,2,0m26.888,0m25.906,0m0.981,8
Approach 2: nested_templated,2,nested_templated/nested_templated8.cpp.out,3,0m27.125,0m26.255,0m0.870,8
Approach 2: nested_templated,2,nested_templated/nested_templated8.cpp.out,4,0m26.934,0m25.934,0m1.000,8
Approach 2: nested_templated,2,nested_templated/nested_templated8.cpp.out,5,0m26.386,0m25.365,0m1.020,8
Approach 2: nested_templated,2,nested_templated/nested_templated8.cpp.out,6,0m26.808,0m25.867,0m0.940,8
Approach 2: nested_templated,2,nested_templated/nested_templated8.cpp.out,7,0m26.759,0m25.930,0m0.820,8
Approach 2: nested_templated,2,nested_templated/nested_templated8.cpp.out,8,0m25.397,0m24.755,0m0.640,8
Approach 2: nested_templated,2,nested_templated/nested_templated8.cpp.out,9,0m25.166,0m24.466,0m0.700,8
Approach 2: nested_templated,2,nested_templated/nested_templated8.cpp.out,10,0m25.267,0m24.556,0m0.710,8
Approach 3: tuple,3,tuple/tuple1.cpp.out,1,0m0.003,0m0.003,0m0.000,1
Approach 3: tuple,3,tuple/tuple1.cpp.out,2,0m0.002,0m0.002,0m0.000,1
Approach 3: tuple,3,tuple/tuple1.cpp.out,3,0m0.004,0m0.004,0m0.000,1
Approach 3: tuple,3,tuple/tuple1.cpp.out,4,0m0.004,0m0.004,0m0.000,1
Approach 3: tuple,3,tuple/tuple1.cpp.out,5,0m0.004,0m0.004,0m0.000,1
Approach 3: tuple,3,tuple/tuple1.cpp.out,6,0m0.003,0m0.003,0m0.000,1
Approach 3: tuple,3,tuple/tuple1.cpp.out,7,0m0.003,0m0.003,0m0.000,1
Approach 3: tuple,3,tuple/tuple1.cpp.out,8,0m0.003,0m0.003,0m0.000,1
Approach 3: tuple,3,tuple/tuple1.cpp.out,9,0m0.002,0m0.000,0m0.002,1
Approach 3: tuple,3,tuple/tuple1.cpp.out,10,0m0.004,0m0.000,0m0.004,1
